id,title_en,title_zh,source_type,institution,date,topics,jurisdiction,language,url,doi_or_isbn,citation,summary,significance_note
intl-2024-icj-palestine-advisory-opinion,ICJ advisory opinion on occupied Palestinian territory,,International law document,International Court of Justice,2024-07-19,use-of-force;sovereignty-non-interference;dispute-settlement,International,English,https://www.icj-cij.org/case/186/advisory-opinions,,ICJ - Legal Consequences arising from Israeli policies and practices in the Occupied Palestinian Territory - Advisory Opinion - 19 July 2024,ICJ advisory opinion on occupation and self-determination,Relevant to China's use of advisory proceedings
intl-2025-icj-climate-advisory-opinion,Obligations of States in respect of Climate Change advisory opinion,,International law document,International Court of Justice,2025-07-23,global-economic-system;theory-order;dispute-settlement,International,English,https://www.icj-cij.org/case/187,,ICJ - Obligations of States in respect of Climate Change - Advisory Opinion - 23 July 2025,ICJ advisory opinion on climate obligations and legal consequences,Connects development equity with global environmental obligations
intl-2024-unga-ai-capacity-building,Enhancing international cooperation on capacity-building of artificial intelligence,,International law document,United Nations General Assembly,2024-07-01,global-economic-system;theory-order,International,English,https://digitallibrary.un.org/record/4054005?ln=en,,UNGA Res 78/311 - Enhancing international cooperation on AI capacity-building - 1 July 2024,General Assembly resolution proposed by China on AI capacity-building,Shows China's development frame for emerging technology governance
intl-2024-pact-for-future,Pact for the Future,,International law document,United Nations General Assembly,2024-09-22,theory-order;global-economic-system;use-of-force,International,English,https://www.un.org/pact-for-the-future/en,,UNGA Res 79/1 - The Pact for the Future - 22 September 2024,UN pact on development security digital cooperation and governance reform,Provides current multilateral context for China's reform proposals
intl-2023-unga-icj-climate-request,Request for an advisory opinion on climate change obligations,,International law document,United Nations General Assembly,2023-03-29,global-economic-system;theory-order;dispute-settlement,International,English,https://digitallibrary.un.org/record/4008332?ln=en,,UNGA Res 77/276 - Request for an ICJ advisory opinion on climate obligations - 29 March 2023,General Assembly request that initiated the ICJ climate proceedings,Traces the path from UNGA climate diplomacy to ICJ legal argument
practice-2020-mpia-decision,China and EU members decide to establish the MPIA,,Chinese state practice,Ministry of Commerce,2020-03-27,global-economic-system;dispute-settlement,International,English,https://english.mofcom.gov.cn/News/SignificantNews/art/2020/art_6ce71f860de84c299aeb7fb9f8a0999b.html,,MOFCOM - China and other WTO members establish the MPIA - 27 March 2020,China joins WTO members in creating the MPIA during the Appellate Body crisis,Shows support for interim appellate review within WTO law
practice-2020-mpia-arbitrator-pool,China participates in the WTO MPIA arbitrator pool,,Chinese state practice,Ministry of Commerce,2020-07-31,global-economic-system;dispute-settlement,International,English,https://english.mofcom.gov.cn/News/SpokesmansRemarks/art/2020/art_fbfcd62ea7e54b7aa23f895ee0b4e7dd.html,,MOFCOM - Statement on the MPIA pool of arbitrators - 31 July 2020,MOFCOM statement on the MPIA arbitrator pool,Adds implementation practice to China's WTO strategy
practice-2025-iomed-signing,Signing ceremony for the International Organization for Mediation convention,,Chinese state practice,Ministry of Foreign Affairs,2025-05-30,dispute-settlement;one-country-two-systems;theory-order,Hong Kong SAR,English,https://www.mfa.gov.cn/mfa_eng/wjbzhd/202505/t20250531_11638303.html,,Ministry of Foreign Affairs - IOMed convention signing ceremony in Hong Kong - 30 May 2025,China-hosted signing ceremony for a Hong Kong-headquartered mediation organization,Directly relevant to China-centered transnational dispute settlement
practice-2024-fu-cong-ai-resolution,China introduces UN General Assembly draft resolution on AI capacity building,,Chinese state practice,PRC Permanent Mission to the United Nations,2024-07-01,global-economic-system;theory-order,International,English,https://un.china-mission.gov.cn/eng/chinaandun/economicdevelopment/202407/t20240702_11446097.htm,,PRC Permanent Mission to the UN - Fu Cong remarks on AI capacity building - 1 July 2024,Chinese explanation of an AI capacity-building resolution,Shows China's Global South and development framing for AI governance
practice-2023-ma-zhaoxu-ukraine-security-council,Ma Zhaoxu attends UN Security Council debate on Ukraine,,Chinese state practice,Ministry of Foreign Affairs,2023-09-20,use-of-force;sovereignty-non-interference;theory-order,International,English,https://www.mfa.gov.cn/eng/xw/wjbxw/202405/t20240530_11343665.html,,Ministry of Foreign Affairs - Ma Zhaoxu attends Security Council debate on Ukraine - 20 September 2023,Chinese statement practice in the Security Council on Ukraine,Adds a concrete UN forum example to use-of-force materials
practice-2023-icj-palestine-china-written-statement,Written statement of China in the ICJ Palestine advisory proceedings,,Chinese state practice,International Court of Justice,2023-07-25,use-of-force;sovereignty-non-interference;dispute-settlement,International,English,https://www.icj-cij.org/index.php/node/203678,,ICJ - Written statement of China in the occupied Palestinian territory advisory proceedings - 25 July 2023,China's written statement in ICJ advisory proceedings,Important example of direct legal argument before the ICJ
practice-2024-icj-climate-china-written-statement,Written statement of China in the ICJ climate advisory proceedings,,Chinese state practice,International Court of Justice,2024-03-22,global-economic-system;theory-order;dispute-settlement,International,English,https://api.icj-cij.org/sites/default/files/case-related/187/187-20240322-wri-19-00-en.pdf,,ICJ - Written Statement of the People's Republic of China in climate proceedings - 22 March 2024,China's written statement in the ICJ climate advisory proceedings,Primary source for China's legal position on climate obligations
practice-2021-hk-legco-qualification-decision,NPCSC decision on qualification of Hong Kong Legislative Council members,,Chinese state practice,National People's Congress Standing Committee,2020-11-11,one-country-two-systems;sovereignty-non-interference;dispute-settlement,Hong Kong SAR,English,https://www.basiclaw.gov.hk/en/basiclaw/annex-instrument.html,,NPCSC - Decision on Hong Kong Legislative Council member qualification - 11 November 2020,NPCSC decision on legislative qualification in Hong Kong,Useful for tracing central interventions in Hong Kong's constitutional order
practice-2024-aviation-space-export-controls,China imposes export controls on aviation and space equipment,,Chinese state practice,Ministry of Commerce and related authorities,2024-05-31,sanctions-anti-sanctions;global-economic-system;use-of-force,China,English,https://english.www.gov.cn/news/202405/31/content_WS665924c8c6d0868f4e8e7b06.html,,Xinhua - China to impose export controls on aviation and space equipment - 31 May 2024,Announcement of export controls on selected aerospace technologies,Concrete practice for China's technology-security system
practice-2025-unreliable-entity-measures,MOFCOM remarks on measures concerning the Unreliable Entity List,,Chinese state practice,Ministry of Commerce,2025-01-01,sanctions-anti-sanctions;global-economic-system;sovereignty-non-interference,China,English,https://english.mofcom.gov.cn/News/SpokesmansRemarks/art/2025/art_ae8ca3f16ddb475cb3a9b51a025887c9.html,,MOFCOM - Spokesperson remarks on measures concerning the Unreliable Entity List - 2025,MOFCOM statement on unreliable entity list measures,Adds later practice to China's countermeasure machinery
practice-2018-cicc-established,China International Commercial Court established,,Chinese state practice,Supreme People's Court,2018-06-29,dispute-settlement;belt-and-road;global-economic-system,China,English,https://cicc.court.gov.cn/html/1/219/193/195/index.html,,China International Commercial Court - A Brief Introduction - 2018,Supreme People's Court initiative for international commercial cases,Key institution for BRI-linked transnational dispute settlement
practice-2018-cicc-expert-committee,China International Commercial Expert Committee established,,Chinese state practice,Supreme People's Court,2018-08-26,dispute-settlement;belt-and-road;global-economic-system,China,English,https://cicc.court.gov.cn/html/1/219/208/209/1316.html,,China International Commercial Court - CICC in 2018,CICC materials on the International Commercial Expert Committee,Shows mixed litigation mediation and expert participation
practice-2025-iomed-privileges-immunities,Hong Kong gazettes privileges and immunities order for the International Organization for Mediation,,Chinese state practice,Hong Kong Department of Justice,2025-11-28,dispute-settlement;one-country-two-systems,Hong Kong SAR,English,https://www.doj.gov.hk/en/community_engagement/press/20251128_pr1.html,,Hong Kong Department of Justice - International Organization for Mediation privileges and immunities order gazetted - 28 November 2025,Hong Kong implementation step for the International Organization for Mediation privileges framework,Links one country two systems with China's mediation platform
tt-merics-2021-afsl-warning,China's Anti-Foreign Sanctions Law: A warning to the world,,Think tank report,MERICS,2021-06-24,sanctions-anti-sanctions;sovereignty-non-interference,Foreign,English,https://merics.org/en/short-analysis/chinas-anti-foreign-sanctions-law-warning-world,,Helena Legarda and Katja Drinhausen - China's Anti-Foreign Sanctions Law - MERICS - 24 June 2021,Analysis of the Anti-Foreign Sanctions Law and risks for foreign actors,Useful secondary commentary for the counter-sanctions legal architecture
tt-merics-2024-how-china-imposes-sanctions,How China imposes sanctions,,Think tank report,MERICS,2024-01-01,sanctions-anti-sanctions;global-economic-system,Foreign,English,https://merics.org/de/studie/how-china-imposes-sanctions,,MERICS - How China imposes sanctions - 2024,Report tracking cases and patterns in China's sanctions practice,Adds empirical context to legal texts on countermeasures
tt-brookings-2024-rules-based-order,China and the United States and the future of a rules-based international order,,Think tank report,Brookings Institution,2024-09-01,theory-order;global-economic-system;use-of-force,Foreign,English,https://www.brookings.edu/articles/china-the-united-states-and-the-future-of-a-rules-based-international-order/,,Brookings Institution - China and the United States and the future of a rules-based international order - 2024,Policy analysis on China and competing accounts of order,Helps frame international law versus rules-based-order discourse
tt-brookings-2017-international-law-chinese-characteristics,International law with Chinese characteristics: Beijing and the rules-based global order,,Think tank report,Brookings Institution,2017-10-01,theory-order;sovereignty-non-interference;dispute-settlement,Foreign,English,https://www.brookings.edu/research/international-law-with-chinese-characteristics-beijing-and-the-rules-based-global-order/,,Robert D Williams - International law with Chinese characteristics - Brookings - 2017,Report on China's approach to international law across major fields,Highly relevant overview source for framing essays
tt-chatham-2017-dispute-settlement,China's Evolving Approach to International Dispute Settlement,,Think tank report,Chatham House,2017-03-29,dispute-settlement;theory-order;sovereignty-non-interference,Foreign,English,https://www.chathamhouse.org/sites/default/files/publications/research/2017-03-29-chinas-evolving-approach-international-dispute-settlement-moynihan-final.pdf,,Harriet Moynihan - China's Evolving Approach to International Dispute Settlement - Chatham House - 29 March 2017,Briefing on China's approach to international adjudication,Bridge between SCS WTO ICJ and China-centered dispute settlement
tt-chatham-2024-china-under-siege,China under siege: How Beijing sees the United States,,Think tank report,Chatham House,2024-07-24,theory-order;use-of-force;sanctions-anti-sanctions,Foreign,English,https://www.chathamhouse.org/2024/07/china-under-siege,,Yu Jie - China under siege - Chatham House - 24 July 2024,Research paper on Chinese perceptions of the United States and global order,Contextualizes threat perceptions behind legal positions
tt-chatham-2025-competing-visions-china,China: Balancing the US and increasing global influence,,Think tank report,Chatham House,2025-03-27,theory-order;global-economic-system;use-of-force,Foreign,English,https://www.chathamhouse.org/2025/03/competing-visions-international-order/02-china-balancing-us-increasing-global-influence,,Chatham House - China: Balancing the US and increasing global influence - 2025,Analysis of China's global initiatives and influence,Adds a recent reading on alternative order-building claims
tt-csis-2015-xi-bri,President Xi Jinping's Belt and Road Initiative,,Think tank report,Center for Strategic and International Studies,2015-03-31,belt-and-road;global-economic-system;theory-order,Foreign,English,https://www.csis.org/analysis/president-xi-jinpings-belt-and-road-initiative,,Christopher K Johnson - President Xi Jinping's Belt and Road Initiative - CSIS - 2015,Early CSIS assessment of BRI goals mechanisms and risks,Useful baseline foreign analysis for the BRI guide
tt-csis-2018-bri-holes,China's Belt and Road Is Full Of Holes,,Think tank report,Center for Strategic and International Studies,2018-09-04,belt-and-road;global-economic-system,Foreign,English,https://www.csis.org/analysis/chinas-belt-and-road-full-holes,,Jonathan E Hillman - China's Belt and Road Is Full Of Holes - CSIS - 2018,CSIS brief on infrastructure implementation problems,Adds a critical project-performance lens to the BRI dossier
tt-csis-chinapower-bri,How Is the Belt and Road Initiative Advancing China's Interests?,,Think tank report,CSIS ChinaPower Project,2024-01-01,belt-and-road;global-economic-system;theory-order,Foreign,English,https://chinapower.csis.org/china-belt-and-road-initiative/,,CSIS ChinaPower Project - How Is the Belt and Road Initiative Advancing China's Interests - accessed 2026,Interactive explainer on BRI and Chinese interests,Reader-facing reference for BRI as economic strategy
tt-csis-maritime-silk-road,China's Maritime Silk Road: Strategic and Economic Implications for the Indo-Pacific Region,,Think tank report,Center for Strategic and International Studies,2018-04-02,belt-and-road;sovereignty-non-interference;global-economic-system,Foreign,English,https://www.csis.org/analysis/chinas-maritime-silk-road,,Michael J Green - China's Maritime Silk Road - CSIS - 2018,Report on the maritime dimension of BRI,Links BRI connectivity with maritime order and Indo-Pacific politics
tt-rusi-2022-global-commons,A Transatlantic Approach to China in the Global Commons,,Think tank report,Royal United Services Institute,2022-03-01,sovereignty-non-interference;use-of-force;theory-order,Foreign,English,https://www.rusi.org/explore-our-research/publications/whitehall-reports/transatlantic-approach-china-global-commons,,RUSI - A Transatlantic Approach to China in the Global Commons - 2022,Whitehall Report on China maritime governance and outer space,Adds global commons analysis to use-of-force materials
tt-lowy-china-rules-based-order,China and the Rules-Based Order,,Think tank report,Lowy Institute,2020-01-01,theory-order;sovereignty-non-interference;global-economic-system,Foreign,English,https://interactives.lowyinstitute.org/features/china-rules-based-order/,,Lowy Institute - China and the Rules-Based Order - interactive feature,Analysis on China's approach to the rules-based international order,Comparative perspective for the theoretical guide
tt-aiddata-2021-banking-bri,Banking on the Belt and Road,,Think tank report,AidData,2021-09-29,belt-and-road;global-economic-system,Foreign,English,https://www.aiddata.org/publications/banking-on-the-belt-and-road,,AidData - Banking on the Belt and Road - 29 September 2021,Dataset-based report on Chinese development projects,Empirical companion to BRI development finance claims
tt-aiddata-2023-bri-reboot,Belt and Road Reboot,,Think tank report,AidData,2023-11-01,belt-and-road;global-economic-system,Foreign,English,https://docs.aiddata.org/reports/belt-and-road-reboot/executive-summary.html,,AidData - Belt and Road Reboot - 2023,Report on shifts in Chinese overseas development finance,Adds evidence on recalibration of BRI finance
lit-cohen-chiu-doc-study-1974,People's China and International Law: A Documentary Study,,Literature,Jerome Alan Cohen and Hungdah Chiu,1974-01-01,theory-order;sovereignty-non-interference,Scholarly literature,English,https://search.worldcat.org/search?q=People%27s%20China%20and%20International%20Law%20A%20Documentary%20Study%20Jerome%20Alan%20Cohen%20Hungdah%20Chiu,,Jerome Alan Cohen and Hungdah Chiu - People's China and International Law: A Documentary Study - 1974,Classic documentary study of PRC practice and doctrine,Adds historical depth to the literature corpus
lit-xue-hanqin-2012,Chinese Contemporary Perspectives on International Law,,Literature,Xue Hanqin,2012-01-01,theory-order;sovereignty-non-interference,Scholarly literature,English,https://search.worldcat.org/search?q=Chinese%20Contemporary%20Perspectives%20on%20International%20Law%20Xue%20Hanqin,,Xue Hanqin - Chinese Contemporary Perspectives on International Law - 2012,Scholarly account of Chinese perspectives on international law,Key work for theoretical and sovereignty materials
lit-cai-congyan-2019,The Rise of China and International Law: Taking Chinese Exceptionalism Seriously,,Literature,Cai Congyan,2019-01-01,theory-order;global-economic-system;dispute-settlement,Scholarly literature,English,https://search.worldcat.org/search?q=The%20Rise%20of%20China%20and%20International%20Law%20Taking%20Chinese%20Exceptionalism%20Seriously%20Cai%20Congyan,,Cai Congyan - The Rise of China and International Law - 2019,Monograph on China's rise and international law,Important contemporary literature for the whole portal
lit-burnay-2018,Chinese Perspectives on the International Rule of Law,,Literature,Matthieu Burnay,2018-01-01,theory-order;sovereignty-non-interference;global-economic-system,Scholarly literature,English,https://search.worldcat.org/search?q=Chinese%20Perspectives%20on%20the%20International%20Rule%20of%20Law%20Matthieu%20Burnay,,Matthieu Burnay - Chinese Perspectives on the International Rule of Law - 2018,Study of Chinese views on the international rule of law,Bridge between official doctrine and legal theory
lit-potter-2011,China and the International Legal System: Challenges of Participation,,Literature,Pitman B Potter,2011-01-01,theory-order;global-economic-system;dispute-settlement,Scholarly literature,English,https://search.worldcat.org/search?q=China%20and%20the%20International%20Legal%20System%20Challenges%20of%20Participation%20Pitman%20Potter,,Pitman B Potter - China and the International Legal System - 2011,Monograph on China's participation in legal institutions,Adds an institutional participation lens to the literature archive
lit-kent-2007-beyond-compliance,Beyond Compliance: China International Organizations and Global Security,,Literature,Ann Kent,2007-01-01,theory-order;use-of-force;sovereignty-non-interference,Scholarly literature,English,https://search.worldcat.org/search?q=Beyond%20Compliance%20China%20International%20Organizations%20and%20Global%20Security%20Ann%20Kent,,Ann Kent - Beyond Compliance - 2007,Study of China's behavior in international organizations and security governance,Strengthens UN compliance and international organization literature
lit-erie-2021-chinese-law-development,Chinese Law and Development,,Literature,Matthew S Erie,2021-01-01,belt-and-road;global-economic-system;dispute-settlement,Scholarly literature,English,https://search.worldcat.org/search?q=Chinese%20Law%20and%20Development%20Matthew%20S%20Erie,,Matthew S Erie - Chinese Law and Development - 2021,Book on Chinese legal ordering and development beyond China,Highly relevant to BRI and transnational governance
